"SINTA_ID","Nama","id_univ","Universitas","id_dept","Departemen","Subject List","SINTA_Score_Overall","Scopus_Artikel","GScholar_Artikel"
"6001857","HAMDAN SUGILAR","3511","Universitas Islam Negeri Sunan Gunung Djati Bandung","84202","S1 - Pendidikan Matematika","Pendidikan Matematika, Statistika, Multimedia","630","25","92"
"6068605","SUDJI MUNADI","381","Universitas Negeri Yogyakarta","86020","S3 - Penelitian Dan Evaluasi Pendidikan","evaluasi, statistik, instrumen","861","20","127"
"5976908","PADRUL JANA","1878","Universitas PGRI Yogyakarta","84202","S1 - Pendidikan Matematika","Mathematics, Statistics, Mathematics Education","854","10","54"
"5992773","DR. DHORIVA URWATUL WUTSQA","381","Universitas Negeri Yogyakarta","84102","S2 - Pendidikan Matematika","Statistika, neural network","1.095","33","121"
"5979580","YEKTI WIDYANINGSIH","430","Universitas Indonesia","49201","S1 - Statistika","statistics, geoinformatics, stochastics","761","35","73"
"6089641","RESA SEPTIANI PONTOH","481","Universitas Padjadjaran","49201","S1 - Statistika","Statistika","533","19","83"
"6024933","AHMAD ZAKI","436","Universitas Negeri Makassar","44201","S1 - Matematika","Pendidikan, Statistika, Matematika","857","6","18"
"6031875","TARNO","6","Universitas Diponegoro","49201","S1 - Statistika","Time Series Analysis, Fuzzy Systems, statistics, forecasting, ANFIS","793","20","91"
"6140624","DUDIH GUSTIAN","1659","Universitas Nusa Putra","59201","S1 - Sistem Informasi","Data Mining, Sistem Cerdas, Statistika, Manajemen Sains/Riset Operasi","724","11","104"
"6692402","DESRI KRISTINA SILALAHI","1093","Universitas Telkom","20201","S1 - Teknik Elektro","Machine Learning, Statistic","490","8","32"
"6669493","HARTONO","3514","Universitas Islam Negeri Sultan Syarif Kasim Riau","U1","Unknown","PENDIDIKAN, METODE PENELITIAN, STATISTIK, AGAMA ISLAM","862","31","16"
"5978438","AISYAH LARASATI","438","Universitas Negeri Malang","26201","S1 - Teknik Industri","statistics, service quality, big data analysis, machine learning","943","25","74"
"6028915","HASIH PRATIWI","8","Universitas Sebelas Maret","49201","S1 - Statistika","statistics","1.086","50","8"
"36142","KUSMAN SADIK","428","Institut Pertanian Bogor","49102","S2 - Statistika Terapan","Statistics, Modelling, Mathematics, Data Science","1.063","38","120"
"5975804","SRI ASTUTI THAMRIN","385","Universitas Hasanuddin","49101","S2 - Statistika","survival analysis, statistics, biostatistics, bayesian method","795","26","57"
"5995846","ENDAH ROKHMATI MERDIKA PUTRI","417","Institut Teknologi Sepuluh Nopember","44101","S2 - Matematika","Financial Mathematics, Numerical Method, Statistics, Stochastics","696","30","41"
"6090481","IQBAL KHARISUDIN","9","Universitas Negeri Semarang","49401","D3 - Statistika Terapan dan Komputasi","Statistics, Time Series, Deep Learning, Fuzzy Sets, Mathematics Education","552","11","61"
"6653215","RANI NOORAENI","4328","Politeknik Statistika STIS","49501","D4 - Statistika","data mining, data sains, statistics, machine lerning, big data","488","6","61"
"6072571","ANNA ISLAMIYATI","385","Universitas Hasanuddin","49101","S2 - Statistika","statistics","568","9","58"
"6031489","MUHAMMAD NUR AIDI","428","Institut Pertanian Bogor","U1","Unknown","Statistics","1.196","23","186"
"6743903","SUGIMAN","9","Universitas Negeri Semarang","84202","S1 - Pendidikan Matematika","Statistik, Pend. Matematika, Pembelajaran Anak Berkebutuhan Khusus","820","7","61"
"6671885","ACHI RINALDI","3528","Universitas Islam Negeri Raden Intan Lampung","84202","S1 - Pendidikan Matematika","Statistics, Mathematics Education","663","6","84"
"6124088","NINA FARLIANA","9","Universitas Negeri Semarang","87203","S1 - Pendidikan Ekonomi","Economic Education, Statistic, Human Resources Economic, Micro Small and Medium Entreprise","437","6","49"
"6007977","SUDARYONO","8339","Universitas Raharja","55102","S2 - Teknik Informatika","Statistik, Kalkulus, Riset","867","9","61"
"6011360","EFRON MANIK","579","Universitas HKBP Nommensen","84202","S2 - Pendidikan Matematika","Graph Theory, Computer Vision, Statistika, Matematika Komputasi, Media Pembelajaran","506","6","41"
"5975148","AGUS MOHAMAD SOLEH","428","Institut Pertanian Bogor","49102","S2 - Statistika Terapan","statistics","884","20","113"
"6007773","HARYA KUNCARA WIRALAGA","435","Universitas Negeri Jakarta","87103","S2 - Pendidikan Ekonomi","Ilmu Ekonomi, Kebijakan Fiskal, Statistika","1.169","17","82"
"6652985","TRIYANTO","8","Universitas Sebelas Maret","84202","S1 - Pendidikan Matematika","Statistika","868","28","10"
"6124136","BAMBANG AVIP PRIATNA MARTADIPUTRA","414","Universitas Pendidikan Indonesia","84202","S1 - Pendidikan Matematika","Mathematics Education, Statistics, Research Methodology","661","13","69"
"6007266","ALFIAN FUTUHUL HADI","406","Universitas Jember","44101","S2 - Matematika","Statistika","872","27","88"
"6645271","DIAN KUSUMA WARDANI","2108","Universitas KH. A. Wahab Hasbullah","86230","S1 - Pendidikan Agama Islam","Statistik","549","0","49"
"6023020","NUR KAROMAH DWIDAYATI","9","Universitas Negeri Semarang","44201","S1 - Matematika","Statistika","917","16","97"
"6003522","ALFIAN BUDI PRIMANTO","2056","Universitas Islam Malang","61201","S1 - Manajemen","Perilaku Konsumen, Sistem Informasi Manajemen, Statistik, Kualitas Layanan, Pemasaran","428","0","64"
"6027984","IDA FITHRIANI","430","Universitas Indonesia","49201","S1 - Statistika","Statistics","385","25","43"
"6675043","DEDEK ANDRIAN","2893","Universitas Islam Riau","84202","S1 - Pendidikan Matematika","Metodologi Penelitian, Statistik","668","9","47"
"5999757","SWASONO RAHARDJO","438","Universitas Negeri Malang","44101","S2 - Matematika","Statistik, Matematika","787","26","98"
"5998079","NOVITA SARI","440","Universitas Sriwijaya","84202","S1 - Pendidikan Matematika","Pendidikan Matematika, Statistika, Persamaan Diferensial, Aljabar, Metode Numerik","378","8","38"
"6022430","ZULKARNAIN","442","Universitas Syiah Kuala","54201","S1 - Agribisnis","Agribusiness, Agricultural Economics, Economics, Statistics, and Operation Reserch","410","4","24"
"6042951","RITA RAHMAWATI","6","Universitas Diponegoro","49201","S1 - Statistika","Statistics","643","10","122"
"6195472","NURHAYATI","3358","Universitas Al Muslim","84202","S1 - Pendidikan Matematika","Pendidikan Matematika, Matematika, Statistika","342","0","40"
"6705687","AUDITYA PURWANDINI SUTARTO","2228","Universitas Qomaruddin","26201","S1 - Teknik Industri","Ergonomics, well-being, heart rate variability, cognitive performance, statistics","670","15","32"
"258041","PUTU NINA MADIAWATI","1093","Universitas Telkom","63211","S2 - Administrasi Bisnis","Statistik, Manajemen, Marketing","469","4","100"
"5973332","FATIA FATIMAH","496","Universitas Terbuka","44201","S1 - Matematika","Statistics, Mathematics education, Distance education, Soft Sets","732","8","44"
"6031415","ERFIANI","428","Institut Pertanian Bogor","49102","S2 - Statistika Terapan","Statistics","629","12","28"
"6028823","WIDARTO RACHBINI","1057","Universitas Pancasila","60001","S3 - Ilmu Ekonomi","Marketing, Statistik","587","7","75"
"6122231","RIRIN AMELIA","510","Universitas Bangka Belitung","44201","S1 - Matematika","Statistika, Geostatistika, Time Series, Spasial","479","10","45"
"131024","TAUFIQULLOH DAHLAN","1398","Universitas Pasundan","86206","S1 - Pendidikan Guru Sekolah Dasar","matematika, pendidikan matematika, statistika, dan pendidikan dasar","427","3","56"
"6138425","IRMAYANI","2783","Akademi Teknologi Industri Dewantara Palopo","22401","D3 - Teknik Sipil","mathematics, statistics","387","0","11"
"6760632","IRA ROSIANAL HIKMAH","4478","Politeknik Siber dan Sandi Negara","57302","D4 - Rekayasa Keamanan Siber","Mathematics, Statistics, Actuarial Science","290","1","12"
"20784","JAKA NUGRAHA","382","Universitas Islam Indonesia","49201","S1 - Statistika","Statistics","1.068","11","114"
"6587209","HILMAN DWI ANGGANA","1093","Universitas Telkom","26201","S1 - Teknik Industri","Statistika, Data Mining, Knowledge Conversion, Penelitian Operasional","311","3","19"
"5984442","DEDY SUGIARTO","477","Universitas Trisakti","57201","S1 - Sistem Informasi","Knowledge Management, Statistics, Quality Engineering","702","7","78"
"6822589","DEVI CIPTA ANGGRAINI","4482","Akademi Angkatan Laut Surabaya","U1","Unknown","statistik, riset operasi, matematika","281","0","1"
"6654704","SITI NURUL HASANA","2056","Universitas Islam Malang","84202","S1 - Pendidikan Matematika","Statistika","404","3","47"
"6004869","AJI HAMIM WIGENA","428","Institut Pertanian Bogor","U1","Unknown","Statistics","1.285","46","159"
"6086221","I KETUT PUTU SUNIANTARA","2428","Institut Teknologi dan Bisnis STIKOM Bali","57201","S1 - Sistem Informasi","Data Mining, Statistika, Application of Multi-Criteria Decision Making","578","1","57"
"6124652","VERA MAYA SANTI","435","Universitas Negeri Jakarta","49201","S1 - Statistika","Statistika","471","7","38"
"5977629","SETIAWAN","417","Institut Teknologi Sepuluh Nopember","49101","S2 - Statistika","Statistics, Econometrics, Spatial Statistics, Spatial Econometrics, Spatio Temporal Model","1.074","42","41"
"6040640","WATI SUSILAWATI","3511","Universitas Islam Negeri Sunan Gunung Djati Bandung","84202","S1 - Pendidikan Matematika","Pendidikan Matematika, Statistik","536","12","50"
"6028086","YUDHIE ANDRIYANA","481","Universitas Padjadjaran","49101","S2 - Statistika Terapan","Statistics","714","32","52"
"6010843","CINDY CAHYANING ASTUTI","551","Universitas Muhammadiyah Sidoarjo","83207","S1 - Pendidikan Teknologi Informasi","Statistics, education statistics, economic statistics","424","2","35"
"6737514","MUKTAR REDY SUSILA","2132","Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya","61201","S1 - Manajemen","Forecasting, statistics","279","0","14"
"6026034","ARIE PURWA KUSUMA","1130","STKIP Kusumanegara","84202","S1 - Pendidikan Matematika","Statistika","667","4","68"
"5977768","SUPARTI","6","Universitas Diponegoro","49201","S1 - Statistika","Statistika, Wavelet, Regresi Nonparametrik","1.073","21","176"
"6002395","SLAMET RIYANTO","2125","Universitas PGRI Madiun","55201","S1 - Teknik Informatika","MSDM, Metodologi Penelitian, Statistik","337","5","49"
"6110555","NIZLEL HUDA","491","Universitas Jambi","84102","S2 - Pendidikan Matematika","Pendidikan Matematika, Statistik","400","6","55"
"6032202","TIYAS YULITA","4478","Politeknik Siber dan Sandi Negara","57302","D4 - Rekayasa Keamanan Siber","statistics","264","0","2"
"6066142","RETNO TRI VULANDARI","1999","Sekolah Tinggi Manajemen Informatika dan Komputer Sinar Nusantara","55401","D3 - Teknologi Informasi","matematika, statistika, data mining, jaringan saraf tiruan","595","0","48"
"5999610","HENDRO PERMADI","438","Universitas Negeri Malang","84102","S2 - Pendidikan Matematika","Statistika, pendidikan Matematika, regresi","514","18","98"
"5977947","MEITA FITRIANAWATI","386","Universitas Ahmad Dahlan","86206","S1 - Pendidikan Guru Sekolah Dasar","Mathematic Education, Statistika, Inklusi, Matematika PGSD","391","7","43"
"6725924","DITA PRAMESTI","1093","Universitas Telkom","57201","S1 - Sistem Informasi","mathematics, statistics, mathematical modeling, data analytics","252","6","13"
"6141017","WIDIARTI","398","Universitas Lampung","44201","S1 - Matematika","statistics","278","17","9"
"6164369","FARIT MOCHAMAD AFENDI","428","Institut Pertanian Bogor","49101","S2 - Statistika dan Sains Data","Statistics","1.308","36","116"
"6092059","SUYONO","435","Universitas Negeri Jakarta","84102","S2 - Pendidikan Matematika","Statistika","631","8","8"
"6144422","FELIX INDRA KURNIADI","388","Universitas Bina Nusantara","55201","S1 - Teknik Informatika","Computer Vision, Machine Learning, Deep Learning, Statistics","316","12","33"
"6201355","DESY YULIANA DALIMUNTHE","510","Universitas Bangka Belitung","44201","S1 - Matematika","Mathematics Economics, Statistics","357","12","33"
"6030136","KARIN AMELIA SAFITRI","430","Universitas Indonesia","94409","D3 - Administrasi Asuransi & Aktuaria","mathematics education, statistics, insurance, economics","319","4","33"
"6070303","SYARIFAH DIANA PERMAI","388","Universitas Bina Nusantara","49201","S1 - Statistika","Statistics, Bayesian, Time Series, Neural Network, Spatial Analysis","433","19","28"
"6025869","I WAYAN MANGKU","428","Institut Pertanian Bogor","44101","S2 - Matematika Terapan","mathematics, statistics","1.453","46","127"
"6050628","I DEWA KOMANG TANTRA","509","Universitas Pendidikan Ganesha","U1","Unknown","Research Methodology, Statistics","1.060","1","65"
"6173018","BUDI SUSETYO","428","Institut Pertanian Bogor","49101","S2 - Statistika dan Sains Data","Statistic, survey","594","5","86"
"6197215","ACHMAD FAUZAN","382","Universitas Islam Indonesia","49201","S1 - Statistika","Statistics, Mathematics, Spatial Data, Mathematics Education","330","3","31"
"6043006","DIAN KURNIASARI","398","Universitas Lampung","44201","S1 - Matematika","Statistika","353","13","75"
"6042153","SUGIHARTO","9","Universitas Negeri Semarang","85001","S3 - Pendidikan Olahraga","Fisiologi Olahraga, Statistik, Pendidikan gerak bulutangkis.","367","5","20"
"6679034","NURANITA ADIASTUTI","1426","Universitas Kuningan","84202","S1 - Pendidikan Matematika","Statistika","312","2","38"
