"id_dept","id_instansi","nama_departemen"
"56402","1290","D3 - Teknologi Komputer"
"u6090518","9","Unknown"
"u6697179","3543","Unknown"
"u6801361","428","Unknown"
"62202","3521","S1 - Akuntansi Syariah"
"57402","1579","D3 - Komputerisasi Akuntansi"
"59001","4479","S3 - Ilmu Pertahanan"
"85201","2914","S1 - Pendidikan Jasmani, Kesehatan dan Rekreasi"
"u6006396","428","Unknown"
"94205","1686","S1 - Perdagangan Internasional"
"55281","2401","S1 - Informatika"
"26301","4460","D4 - Teknik Industri Otomotif"
"u6745985","2419","Unknown"
"58301","545","D4 - Teknologi Rekayasa Perangkat Lunak"
"u6090101","3531","Unknown"
"u6014849","444","Unknown"
"83205","500","S1 - Pendidikan Teknik Bangunan"
"u6800261","426","Unknown"
"20402","553","D3 - Teknologi Telekomunikasi"
"87211","499","S1 - Pendidikan Tata Niaga"
"48401","3058","D3 - Farmasi"
"u6805349","399","Unknown"
"93303","546","D4 - Manajemen Bisnis Pariwisata"
"u6023794","417","Unknown"
"u5983869","9","Unknown"
"93201","4402","S1 - Industri Perjalanan Wisata"
"61209","626","S1 - Bisnis Digital"
"13363","1080","D4 - Manajemen Informasi Kesehatan"
"u6019317","498","Unknown"
"11210","1122","S1 - Bio informatika"
"70232","3541","S1 - Bimbingan dan Konseling Pendidikan Islam"
"45201","2079","S1 - Fisika"
"74234","3528","S1 - Hukum Ekonomi Syariah (Muamalah)"
"86232","3526","S1 - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)"
"u6755373","185","Unknown"
"86001","381","S3 - Ilmu Pendidikan"
"56201","2428","S1 - Sistem Komputer"
"63201","944","S1 - Ilmu Administrasi Negara"
"u5985594","433","Unknown"
"21302","550","D4 - Tenik Permesinan Kapal"
"20304","539","D4 - Teknik Multimedia Digital"
"60101","526","S2 - Ilmu Ekonomi"
"u6162209","1119","Unknown"
"54101","1410","S2 - Agribisnis"
"u6762606","300","Unknown"
"u6082972","481","Unknown"
"71201","3528","S1 - Ilmu Perpustakaan dan Informasi Islam"
"u5982629","834","Unknown"
"u6815490","6","Unknown"
"87220","1692","S1 - Pendidikan Ekonomi"
"61206","3531","S1 - Perbankan Syariah"
"41211","2390","S1 - Teknologi Industri Pertanian"
"u6117368","8244538","Unknown"
"u6715948","3543","Unknown"
"u6019152","441","Unknown"
"92401","714","D3 - Ketatalaksanaan Pelayaran Niaga dan Pelabuhan"
"u6020678","382","Unknown"
"22303","561","D4 - Teknologi Rekayasa Konstruksi Bangunan Gedung"
"61406","539","D3 - Keuangan Dan Perbankan"
"43353","4433","D4 - Teknologi Laboratorium Medis"
"u6715251","2965","Unknown"
"13453","4429","D3 - Teknologi Laboratorium Medis"
"35611","4326","D1 - Pengukuran dan Pemetaan Kadastral"
"20405","4454","D3 - Teknik Listrik Bandar Udara"
"u6142541","384","Unknown"
"u6088097","3594","Unknown"
"63101","3139","S2 - Ilmu Administrasi Publik"
"56202","2068","S1 - Teknik Komputer"
"25101","1889","S2 - Teknik Lingkungan"
"u6816285","4328","Unknown"
"u6675694","1197","Unknown"
"u6806395","524","Unknown"
"u6715270","3929","Unknown"
"u6675426","3709","Unknown"
"u6042551","441","Unknown"
"614010","1955","D3 - Manajemen"
"35201","8244483","S1 - Perencanaan Wilayah"
"74235","3553","S1 - Hukum Tata Negara (Siyasah Syar'iyyah)"
"u6788004","440","Unknown"
"61308","4478","D4 - Rekayasa Kriptografi"
"u6802327","8","Unknown"
"u6694456","8244628","Unknown"
"u6654469","2060","Unknown"
"63313","8","D4 - Demografi dan Pencatatan Sipil"
"31401","2373","D3 - Teknik Pertambangan"
"u6752418","4060","Unknown"
"u5989148","476","Unknown"
"u6046780","444","Unknown"
"614011","8244495","D3 - Manajemen Transportasi Perairan Daratan"
"93202","409","S1 - Pariwisata"
"36402","2084","D4 - Teknologi Rekayasa Permesinan Kapal"
